ProjectId,ProjectName,UserId,Description,Rating,ReviewerName,Source,CreatedOn
45756,"Flora Fountain",0,"I have recently shifted at this location. My parents enjoy the large space and new facilities here. Our favorite spot is swimming pool.",4,Mukesh,moderation,"2025-03-12 01:32:40"
45756,"Flora Fountain",0,"The place is ideal for my daily travel. Nevertheless, I believe the quality of finishing could have been improved.",3,Bakul,moderation,"2025-03-12 01:32:40"
45756,"Flora Fountain",0,"Good location, but occasionally noisy owing to surrounding construction. Hope it calms down soon.",4,Robin,moderation,"2025-03-12 01:32:40"
45756,"Flora Fountain",0,"Security here is first-rate. Safe to let my kids play outside.",5,Dhanonjoy,moderation,"2025-03-12 01:32:40"
45756,"Flora Fountain",0,"Amenities are nice, but maintenance can be better. The gym equipment should be upgraded.",4,Prankrishna,moderation,"2025-03-12 01:32:40"
86889,"Aditya World City",0,"I am staying here has been very good for me. The park spaces are one of the plus points of this location.",5,Lakshmi,moderation,"2025-03-12 08:13:58"
86889,"Aditya World City",0,"Purchased a 2 BHK last week. Facilities such as the gym and pool are also well maintained. I like this project very much.",5,Kabir,moderation,"2025-03-12 08:13:58"
86889,"Aditya World City",0,"Convenient location with shopping areas and schools around. But construction quality may be improved.",4,Aahna,moderation,"2025-03-12 08:13:58"
86889,"Aditya World City",0,"Large rooms and good connectivity through public transport. I feel the maintenance can be improved.",4,Reyansh,moderation,"2025-03-12 08:13:58"
86889,"Aditya World City",0,"My parents enjoying the green environment a lots. The locality is friendly and very convinient.",5,Sunil,moderation,"2025-03-12 08:13:58"
30083,"Prestige Finsbury Park Hyde",0,"I love the natural light in my 2 BHK here. The large windows make a big difference.",5,Ajay,moderation,"2025-03-12 08:23:59"
30083,"Prestige Finsbury Park Hyde",0,"Amenities are excellent here. My children love the pool and play area every day.",5,Aditya,moderation,"2025-03-12 08:23:59"
30083,"Prestige Finsbury Park Hyde",0,"Construction quality appears good, but the location is a bit far from the main city.",4,Deepak,moderation,"2025-03-12 08:23:59"
30083,"Prestige Finsbury Park Hyde",0,"Lived here for 6 months. The gym and clubhouse are well maintained, but the travel to work is longer than anticipated.",4,Sweta,moderation,"2025-03-12 08:23:59"
30083,"Prestige Finsbury Park Hyde",0,"The interiors are contemporary and roomy. The area surrounding it is yet to develop.",5,Parth,moderation,"2025-03-12 08:23:59"
15091,"SNN Raj Serenity",0,"The facilities here are the best, particularly the clubhouse and gym. My family adores it so much.",5,Krishna,moderation,"2025-03-12 08:29:32"
15091,"SNN Raj Serenity",0,"This place is ideal and worthy, but the factories nearby pollute. It's a concern for us.",4,Ayaansh,moderation,"2025-03-12 08:29:32"
15091,"SNN Raj Serenity",0,"Large apartments with contemporary interiors. However, maintenance fees are relatively high.",4,Ivaan,moderation,"2025-03-12 08:29:32"
15091,"SNN Raj Serenity",0,"I adore the gardens and green spaces. It's a serene haven in the midst of city chaos.",5,Aditi,moderation,"2025-03-12 08:29:32"
15091,"SNN Raj Serenity",0,"Construction quality is excellent, but intermittent water supply problems exist.",3,Dhriti,moderation,"2025-03-12 08:29:32"
114955,"SLN Terminus",0,"I went to SLN Terminus over the weekend. The mall has a nice mix of outlets, but parking was a nightmare. I enjoy spending time in this place.",5,Isha,moderation,"2025-03-12 08:35:29"
114955,"SLN Terminus",0,"The rooftop eatery, Mazzo, features a great view of the city. It is an ideal place for a dinner date with friends.",5,Samar,moderation,"2025-03-12 08:35:29"
114955,"SLN Terminus",0,"The interior of the mall is contemporary and tidy. But was disappointed with the food court offerings.",4,Kian,moderation,"2025-03-12 08:35:29"
114955,"SLN Terminus",0,"SLN Terminus is well placed and can be easily accessed from various locations in the city.",5,Samriddhi,moderation,"2025-03-12 08:35:29"
114955,"SLN Terminus",0,"Shopped here, but would have liked the signs to be better for easy navigation.",3,Neel,moderation,"2025-03-12 08:35:29"
854,"Ace City",0,"My family and I enjoyed the open spaces and greenery here. Ideal for evening strolls with my parents. Location is also excellent.",5,Vedika,moderation,"2025-03-12 08:41:43"
854,"Ace City",0,"The apartment layout is good, but I feel finishing in some parts could be improved.",4,"Aarav ",moderation,"2025-03-12 08:41:43"
854,"Ace City",0,"Excellent amenities! I adore them so much. But visitor parking is always a problem. Needs to be managed better.",4,"Shaan ",moderation,"2025-03-12 08:41:43"
854,"Ace City",0,"Life here is serene. No traffic noise, only fresh air and greenery.",5,"Aryan ",moderation,"2025-03-12 08:41:43"
854,"Ace City",0,"Gym and clubhouse are well kept. Feels like a mini resort at home.",5,"Nora ",moderation,"2025-03-12 08:41:43"
108049,"Hubtown Solaris",0,"The location is unbeatable! Metro and airport are just minutes away, making travel super easy. ",5,Arjun,moderation,"2025-03-12 08:46:48"
108049,"Hubtown Solaris",0,"Good office space. I love this area and its amenities, but the lift waiting time during peak hours is a bit frustrating.",4,Sahil,moderation,"2025-03-12 08:46:48"
108049,"Hubtown Solaris",0,"The infrastructure is modern, but maintenance needs to be more frequent in common areas.",3,Atharv,moderation,"2025-03-12 08:46:48"
108049,"Hubtown Solaris",0,"I love working here. The spacious offices and natural light make long work hours bearable.",5,Maya,moderation,"2025-03-12 08:46:48"
108049,"Hubtown Solaris",0,"Parking is well-managed, and security is always alert. We feels safe even late at night.",5,Dhriti,moderation,"2025-03-12 08:46:48"
325,"DLF Westend Heights",0,"I shifted last month to this location. I like the big rooms and greenery around it. The connectivity is good as well.",5,Advait,moderation,"2025-03-12 08:53:17"
325,"DLF Westend Heights",0,"This is an excellent location. but traffic noise can be annoying at times.",4,Raj,moderation,"2025-03-12 08:53:17"
325,"DLF Westend Heights",0,"The amenities of the project are excellent, particularly the gym and indoor games. I have excellent community feel.",5,Ali,moderation,"2025-03-12 08:53:17"
325,"DLF Westend Heights",0,"The construction is good, but I would like to see more elevators in order to minimise waiting time.",4,Gahana,moderation,"2025-03-12 08:53:17"
325,"DLF Westend Heights",0,"Interior is modern and nicely done. Neighbourliness to schools and malls is a huge advantage.",5,"Aria ",moderation,"2025-03-12 08:53:17"
689,"Ajnara Homes",0,"The apartment layout is ideal! Large rooms and large balconies give it a light and spacious feel.",5,Rudra,moderation,"2025-03-12 08:58:42"
689,"Ajnara Homes",0,"This is a perfect location for my family, close to everything. However, the possession was postponed. We had to wait longer than anticipated.",4,Reyansh,moderation,"2025-03-12 08:58:42"
689,"Ajnara Homes",0,"Love the facilities here! Gym is my own favorite, and the pool is always tidy.",5,Arjun,moderation,"2025-03-12 08:58:42"
689,"Ajnara Homes",0,"The walls are not soundproofed properly. I can already hear the television of the neighbors even at nighttime, and it's really bothering me.",4,Jiya,moderation,"2025-03-12 08:58:42"
689,"Ajnara Homes",0,"It feels like home. The socity is calm, and security is actually tight. No complains.",5,Nitya,moderation,"2025-03-12 08:58:42"
88212,"Lotus Panache",0,"I am living here has been a pleasure with my wife. The green spaces make morning walks invigorating.",5,Aarav,moderation,"2025-03-12 09:05:08"
88212,"Lotus Panache",0,"The geothermal club is impressive. It's a standout feature that differentiates this establishment.",5,Krish,moderation,"2025-03-12 09:05:08"
88212,"Lotus Panache",0,"Connectivity is for us easy with the expressway close by. Traveling to work is such a breeze.",4,Sahil,moderation,"2025-03-12 09:05:08"
88212,"Lotus Panache",0,"The amenities are excellent, but maintenance can be better. Some facilities require routine maintenance.",4,Shraddha,moderation,"2025-03-12 09:05:08"
10367,"Regency Anantam",0,"I shifted in last month. I like the large rooms and the sundeck is a plus. The kids like the gardens.",5,Rahul,moderation,"2025-03-12 09:49:39"
10367,"Regency Anantam",0,"Prime location. But the finishing would have been superior. Expected much for the cost.",4,Sourav,moderation,"2025-03-12 09:49:39"
10367,"Regency Anantam",0,"Facilities are excellent here. The gym and clubhouse are well-maintained. Am extremely satisfied with my buy.",5,Samarpita,moderation,"2025-03-12 09:49:39"
10367,"Regency Anantam",0,"Having some trouble with water supply at times. Hope management does something about this soon.",3,Rajiv,moderation,"2025-03-12 09:49:39"
10367,"Regency Anantam",0,"This is green areas, very nice. My family loves evening strolls in the theme gardens.",5,Anuvab,moderation,"2025-03-12 09:49:39"
17458,"Purva Palm Beach",0,"The wave pool turns each weekend into a weekend getaway. I am addicted to the beach culture here.",5,Suraj,moderation,"2025-03-12 09:55:50"
17458,"Purva Palm Beach",0,"This place is laudable, but traffic is a problem outside. It takes time to access major city areas.",4,Manoj,moderation,"2025-03-12 09:55:50"
17458,"Purva Palm Beach",0,"Apartment design is extremely spacious. Plenty of fresh air and natural light. Tastes high-end.",5,Arpita,moderation,"2025-03-12 09:55:50"
17458,"Purva Palm Beach",0,"Construction quality is good, but I found some minor finishing problems in my flat.",4,Tinni,moderation,"2025-03-12 09:55:50"
17458,"Purva Palm Beach",0,"I just adore the facilities here, amenities are first class. Clubhouse and gym are in good condition. Excellent place to reside.",5,Udit,moderation,"2025-03-12 09:55:50"
4716,"Godrej Garden City",0,"I just love the greenery and large rooms here. it is like living in a serene retreat, far from city hustle-bustle.",5,Ayesha,moderation,"2025-03-12 10:01:02"
4716,"Godrej Garden City",0,"The township is well-planned, but traffic outside sometimes gets a little crazy.",4,Pari,moderation,"2025-03-12 10:01:02"
4716,"Godrej Garden City",0,"The clubhouse and pool are excellent! My family likes all facilities, and the maintenance is certainly good.",5,Tiyasha,moderation,"2025-03-12 10:01:02"
4716,"Godrej Garden City",0,"The apartments are large, but I would have liked the finishing to be a little better.",4,Reyansh,moderation,"2025-03-12 10:01:02"
4716,"Godrej Garden City",0,"The location is ideal for my family. Everything is close by. Schools and shops inside the township are a big plus.",5,Raghav,moderation,"2025-03-12 10:01:02"
1450,"Mahaveer Ranches",0,"I enjoy the serene atmosphere here. The greenery is so pleasant to walk through in the evenings. Also, the area is good for my workplace.",5,Piyush,moderation,"2025-03-12 10:07:08"
1450,"Mahaveer Ranches",0,"The flat is large, but wish that finishing in certain parts could have been improved.",4,Gautam,moderation,"2025-03-12 10:07:08"
1450,"Mahaveer Ranches",0,"Location is excellent. Near IT parks, but away from all the hustle and bustle.",5,Sudha,moderation,"2025-03-12 10:07:08"
1450,"Mahaveer Ranches",0,"Fine clubhouse and gym. I am an enthusiast of these things. But there is a bit of constraint for visitor parking.",4,Prayag,moderation,"2025-03-12 10:07:08"
1450,"Mahaveer Ranches",0,"I purchased an apartment in last year. Construction is good, and society is in a good condition.",5,Raj,moderation,"2025-03-12 10:07:08"
112387,"Sapphire Eighty Three",0,"I just shifted to a 1 BHK here. I appreciate the contemporary design and facilities. Just what I needed for my lifestyle.",5,Pushkar,moderation,"2025-03-12 10:14:25"
112387,"Sapphire Eighty Three",0,"As a shop owner, such a high number of footfall has increased my sales at Sapphire Eighty Three considerably.",5,Siddharth,moderation,"2025-03-12 10:14:25"
112387,"Sapphire Eighty Three",0,"The place is accessible, but parking may be difficult during rush hour.",4,Puja,moderation,"2025-03-12 10:14:25"
112387,"Sapphire Eighty Three",0,"I just love the good quality build, but I wish there were a few more green areas around.",4,Yadav,moderation,"2025-03-12 10:14:25"
112387,"Sapphire Eighty Three",0,"It has been wonderful living here. I have everything I need at hand, and it makes life much simpler.",5,Somnath,moderation,"2025-03-12 10:14:25"
4050,"Prestige Bella Vista",0,"I moved in last Monday. Love the spacious layout and well-planned interiors. It feels like home already.",5,Jadega,moderation,"2025-03-12 10:20:11"
4050,"Prestige Bella Vista",0,"The clubhouse is fantastic! My kids love the play area, and I enjoy the jogging track.",5,Yusuf,moderation,"2025-03-12 10:20:11"
4050,"Prestige Bella Vista",0,"This location is very convenient, but traffic outside the complex is a bit hectic during peak hours.",4,Payel,moderation,"2025-03-12 10:20:11"
4050,"Prestige Bella Vista",0,"Beautiful apartments but they could have better ventilation in some rooms.",4,Sachin,moderation,"2025-03-12 10:20:11"
4050,"Prestige Bella Vista",0,"This place had great amenities. This place has friendly neighbors, and peaceful vibes. Totally happy with my purchase.",5,Jahnvi,moderation,"2025-03-12 10:20:11"
9661,"Provident Park Square",0,"I really like the project! Such a good place, contemporary look, and has a serene environment for my loved ones.",5,Ishaan,moderation,"2025-03-12 10:27:01"
9661,"Provident Park Square",0,"The facilities here are excellent with excellent connectivity. My weekends are spent at the gym, pool, and sports courts.",5,Manav,moderation,"2025-03-12 10:27:01"
9661,"Provident Park Square",0,"This place is wonderful, but the ownership got a little delayed. Hope everything gets finished soon.",4,Dhruv,moderation,"2025-03-12 10:27:01"
9661,"Provident Park Square",0,"I adore the large apartments, but the parking area is slightly cramped. Requires more planning.",5,Amaya,moderation,"2025-03-12 10:27:01"
9661,"Provident Park Square",0,"Well worth the money. Excellent build and thoughtful design. It feels luxurious!",5,Pragya,moderation,"2025-03-12 10:27:01"
16078,"Assetz 63 Degree East",0,"I really enjoy the atmosphere here. Green all around, serene environment, and a wonderful clubhouse. Ideal for my family.",5,Sourav,moderation,"2025-03-12 10:34:17"
16078,"Assetz 63 Degree East",0,"The apartment is large, and the interior is classy. It is like having a high-end home.",5,Gopi,moderation,"2025-03-12 10:34:17"
16078,"Assetz 63 Degree East",0,"Excellent connectivity, but peak hour traffic can be frustrating. Nevertheless, a wonderful place.",4,Hussain,moderation,"2025-03-12 10:34:17"
16078,"Assetz 63 Degree East",0,"The facilities are good, but the delays in construction were annoying. Hope they pick up speed soon.",4,Usha,moderation,"2025-03-12 10:34:17"
16078,"Assetz 63 Degree East",0,"I purchased a 2BHK here, and it is worth it. Good investment with good future appreciation.",5,Urvashi,moderation,"2025-03-12 10:34:17"
2823,"Lodha New Cuffe Parade",0,"It has been a dream to live here. The clubhouse is enormous, and the kids adore the open areas. The connectivity is good too.",5,Sunil,moderation,"2025-03-12 10:41:18"
2823,"Lodha New Cuffe Parade",0,"Connectivity is excellent. I am able to go to BKC within 10 minutes. Really convenient.",5,Saikat,moderation,"2025-03-12 10:41:18"
2823,"Lodha New Cuffe Parade",0,"The surrounding greenery is invigorating. Freeway noise from time to time is somewhat annoying.",4,Anushka,moderation,"2025-03-12 10:41:18"
2823,"Lodha New Cuffe Parade",0,"The apartment designs are roomy, but I would like to see more parking spaces for guests.",4,Puja,moderation,"2025-03-12 10:41:18"
2823,"Lodha New Cuffe Parade",0,"All the facilities are good, but the maintenance fees are a bit too much.",4,Tanveer,moderation,"2025-03-12 10:41:18"
2022,"Lodha Belmondo",0,"Living here with family is like a resort holiday daily. Golf course and landscaping are simply superb. Location is convenient as well.",5,Rohit,moderation,"2025-03-12 14:25:36"
2022,"Lodha Belmondo",0,"The clubhouse is excellent also my favorite one, But weekends it is little crowded. I hope they provide more facilities.",4,Babu,moderation,"2025-03-12 14:25:36"
2022,"Lodha Belmondo",0,"I enjoy riverside view from my apartment. It is so peaceful after a tiring day.
",5,Raghav,moderation,"2025-03-12 14:25:36"
2022,"Lodha Belmondo",0,"Construction quality is excellent and amenities are quite good too. The interiors could have been even more contemporary-looking, though.",4,Antik,moderation,"2025-03-12 14:25:36"
2022,"Lodha Belmondo",0,"Convenience to the expressway is great, but occasional noise from traffic is a drawback.",4,Payel,moderation,"2025-03-12 14:25:36"
7219,"Panchshil Towers",0,"I am living with a pleasant experience here, it's like a dream. The greenery areas are so peaceful, and the facilities are excellent.",5,Sanvi,moderation,"2025-03-12 14:42:21"
7219,"Panchshil Towers",0,"Our 4.5 BHK flat is spacious and well-planned. The children like the play area the most.",5,Tanmay,moderation,"2025-03-12 14:42:21"
7219,"Panchshil Towers",0,"The facilities are quite excellent. But I think the location is somewhat away from the main city.",4,Shiva,moderation,"2025-03-12 14:42:21"
7219,"Panchshil Towers",0,"The contemporary look and quality build were impressive. It's a pleasant place to stay with my parents.",5,Rohan,moderation,"2025-03-12 14:42:21"
7219,"Panchshil Towers",0,"The building is upscale, but the construction in the area nearby makes some noise during the day.",4,Vipul,moderation,"2025-03-12 14:42:21"
103661,"Gulshan One29",0,"I went to Gulshan One29 over the weekend. I enjoyed the multiplex the most. Its sound quality is excellent. But the food court was a little congested.",5,Ayaan,moderation,"2025-03-12 15:43:36"
103661,"Gulshan One29",0,"I have taken an office on rent here. The state-of-the-art facilities and central location have greatly increased our team's efficiency.",5,Shreyas,moderation,"2025-03-12 15:43:36"
103661,"Gulshan One29",0,"My shopping experience is varied at this venue. But I would have liked more luxury brands on offer.",4,Priya,moderation,"2025-03-12 15:43:36"
103661,"Gulshan One29",0,"I watched a live performance at the amphitheatre. The atmosphere was great, and the night remained memorable.",5,Vipul,moderation,"2025-03-12 15:43:36"
103661,"Gulshan One29",0,"Parking is a problem during rush hours, but the range of restaurants compensates for it.",3,Pranav,moderation,"2025-03-12 15:43:36"
10380,"Sobha Royal Pavilion",0,"I adore the Rajasthani motifs most. This project add a certain charm to the place.",5,Siddharth,moderation,"2025-03-12 15:59:38"
10380,"Sobha Royal Pavilion",0,"The facilities are mindblowing. In particularly the clubhouse and swimming pool most retractable. Also the location is convenient.",5,Karan,moderation,"2025-03-12 15:59:38"
10380,"Sobha Royal Pavilion",0,"Best location with mesmerizing architecture. But traffic noise is irritating at times.",4,Shilpa,moderation,"2025-03-12 15:59:38"
10380,"Sobha Royal Pavilion",0,"Large apartments with good fittings, although the cost is on the higher side.",4,Ayush,moderation,"2025-03-12 15:59:38"
10380,"Sobha Royal Pavilion",0,"Quality of construction and interior designs are good, but parking area is small.",4,Yash,moderation,"2025-03-12 15:59:38"
139600,"Lodha Excelus",0,"Although the building provides great facilities, the rent is a bit high compared to other similar buildings.",4,Simmi,moderation,"2025-03-12 16:11:04"
139600,"Lodha Excelus",0,"Professional management services provide us a smooth operational experience to our office without any inconvenience.",5,Uttam,moderation,"2025-03-12 16:11:04"
139600,"Lodha Excelus",0,"The entire facilities are world-class. However, wait times for elevators during rush hours can be somewhat lengthy.",4,Yuvi,moderation,"2025-03-12 16:11:04"
139600,"Lodha Excelus",0,"Natural light pouring in through the spacious vision panels lights up our office and creates an energetic working space.",5,Utsav,moderation,"2025-03-12 16:11:04"
139600,"Lodha Excelus",0,"The majestic entrance lobby of Lodha Excelus is simply spectacular. It makes an indelible mark on the clients.",5,Bhaskar,moderation,"2025-03-12 16:11:04"
7011,"Amanora Park Town",0,"I am staying here has been great. The facilities are excellent, and everything is accessible.",5,Supriya,moderation,"2025-03-12 17:14:00"
7011,"Amanora Park Town",0,"The availability of 24/7 water and electricity supply is a boon for us. And also the security provisions keep us secured all the time.",5,Rajiv,moderation,"2025-03-12 17:14:00"
7011,"Amanora Park Town",0,"This Being close to IT parks such as Magarpatta and Kharadi is a great boon for professionals like me. Also facilities are sooo good.",5,Sunil,moderation,"2025-03-12 17:14:00"
7011,"Amanora Park Town",0,"Excellent facilities here with location. The only issue is the traffic at peak hours can be hectic.",4,Subhash,moderation,"2025-03-12 17:14:00"
7011,"Amanora Park Town",0,"The community is lively most of the time. but sometimes there is higher than normal noise.",4,Bimal,moderation,"2025-03-12 17:14:00"
163451,"Brigade Magnum",0,"The place is ideal for our firm. It also gives access to the airport and IT parks being convenient.",5,Samar,moderation,"2025-03-12 17:23:07"
163451,"Brigade Magnum",0,"Its facilities, such as power backup and security, make it a safe place to work. very safe and convenient location.",5,Nilesh,moderation,"2025-03-12 17:23:07"
163451,"Brigade Magnum",0,"The central green provides a nice spot for relaxation while working. I like this place so much.",5,Mayuri,moderation,"2025-03-12 17:23:07"
163451,"Brigade Magnum",0,"Conference facilities are excellent. it's really well-suited for client meetings.",4,Pravash,moderation,"2025-03-12 17:23:07"
163451,"Brigade Magnum",0,"Nearness to schools and hospitals makes it convenient for our employees. Good project with several benefits.",5,Tina,moderation,"2025-03-12 17:23:07"
65327,"Lodha Supremus",0,"The modern architecture and sunlight make working here a delightful living. The magnificent lobby is stunning.",5,Umesh,moderation,"2025-03-12 18:03:27"
65327,"Lodha Supremus",0,"Connectivity is seamless with the coming metro station within proximity. The green building design resonates with our company's values.",5,Jadav,moderation,"2025-03-12 18:03:27"
65327,"Lodha Supremus",0,"I love this location with the project amenities. The modular office spaces enabled us to configure our workspace effectively.",5,Pritimoy,moderation,"2025-03-12 18:03:27"
65327,"Lodha Supremus",0,"Neighborhood malls provide easy options for client meetings and team excursions.",4,Krishnakoli,moderation,"2025-03-12 18:03:27"
65327,"Lodha Supremus",0,"State-of-the-art safety features give our employees peace of mind. I feels maintenance may be better.",4,Bishakha,moderation,"2025-03-12 18:03:27"
18822,"Purva Fountain Square",0,"I adore this large space and facilities so much. Ideal for my families to lead a comfortable lifestyle.",5,Piyush,moderation,"2025-03-12 18:16:36"
18822,"Purva Fountain Square",0,"Location is ideal. But traffic sounds are too much at times which is only disadvantage.",4,Prayag,moderation,"2025-03-12 18:16:36"
18822,"Purva Fountain Square",0,"The facilities are excellent. But I think maintenance could be improved in some sections.",4,Simmy,moderation,"2025-03-12 18:16:36"
18822,"Purva Fountain Square",0,"I have been living here has been delightful. The complex is lively, and the amenities suit all ages.",5,Alaka,moderation,"2025-03-12 18:16:36"
18822,"Purva Fountain Square",0,"Although the location is good, the adjacent railway track is noisy. Overall, a good place to live.",4,Bishakha,moderation,"2025-03-12 18:16:36"
8549,"SMR Vinay Iconia Hyderabad",0,"I really love the wide space and greenery. It is ideal for me and my wife.",5,Prashant,moderation,"2025-03-12 18:49:23"
8549,"SMR Vinay Iconia Hyderabad",0,"The amenities are so cool. But traffic noise is a nuisance.",4,Ushmita,moderation,"2025-03-12 18:49:23"
8549,"SMR Vinay Iconia Hyderabad",0,"Being close to IT parks is a big advantage for me as a working woman. It makes traveling convenient.",5,Sunidhi,moderation,"2025-03-12 18:49:23"
8549,"SMR Vinay Iconia Hyderabad",0,"Quality of construction and interior is superb. Great place for family. But there should be more parking lots.",4,Anwar,moderation,"2025-03-12 18:49:23"
8549,"SMR Vinay Iconia Hyderabad",0,"Relishing the facilities of the clubhouse. It is really a wonderful place to relax after work.",5,Pankaj,moderation,"2025-03-12 18:49:23"
168928,"Brigade Orchards",0,"The proximity to the airport is super convenient for my frequent travels. Also, this project is really commendable.",5,Krish,moderation,"2025-03-12 19:00:46"
168928,"Brigade Orchards",0,"I love the green areas in between. This area is famous with commendable amenities. It's a serene escape from urban mayhem.",5,Basant,moderation,"2025-03-12 19:00:46"
168928,"Brigade Orchards",0,"The sports complex is excellent. My children love the cricket academy. Location is excellent.",4,Bijay,moderation,"2025-03-12 19:00:46"
168928,"Brigade Orchards",0,"While the amenities are great, the location away from the city center makes for difficult daily travel.",3,Jannhabi,moderation,"2025-03-12 19:00:46"
168928,"Brigade Orchards",0,"Smart home features are cutting-edge, but setting up initially was slightly problematic.",4,Lipika,moderation,"2025-03-12 19:00:46"
860,"Panchsheel Greens",0,"The open space and greenery make it a serene location to live with family. Also, we are enjoy the all facilities.",5,Jojo,moderation,"2025-03-12 19:13:04"
860,"Panchsheel Greens",0,"Amenities are well planned. Clubhouse and gyms are simply great for a fit lifestyle and also my personal favourites.",5,Koyel,moderation,"2025-03-12 19:13:04"
860,"Panchsheel Greens",0,"The construction quality is great and satisfactory, but finishing touches could be better in some areas.",4,Ishika,moderation,"2025-03-12 19:13:04"
860,"Panchsheel Greens",0,"Location is excellent, but at times there are issues with water supply which is irritating.",4,Hrithik,moderation,"2025-03-12 19:13:04"
860,"Panchsheel Greens",0,"Love living here! The kids love the play area, and we feel safe.",5,Lovely,moderation,"2025-03-12 19:13:04"
100324,"Candeur Signature",0,"Love the open spaces and facilities. It is ideal for families like us.",5,Aarav,moderation,"2025-03-12 19:29:40"
100324,"Candeur Signature",0,"Construction quality appears excellent. It looking forward to possession. This project is commendable.",4,Karan,moderation,"2025-03-12 19:29:40"
100324,"Candeur Signature",0,"This location is great. Traffic at peak hours is a worry. Also, the amenities are nice.",4,Kajal,moderation,"2025-03-12 19:29:40"
